condition,window,abs_position,norm,critic_mse,critic_cos
C3_creative_handcuffs,late,214,132.52430725097656,0.15821674466133118,0.9208918809890747
C3_creative_handcuffs,late,215,117.78133392333984,0.13909168541431427,0.9304543137550354
C3_creative_handcuffs,late,216,120.61080932617188,0.12362551689147949,0.9381872415542603
C3_creative_handcuffs,late,217,120.06623077392578,0.1615970879793167,0.919201672077179
C3_creative_handcuffs,late,218,123.97409057617188,0.16136662662029266,0.9193167090415955
C3_creative_handcuffs,late,219,131.3534393310547,0.16355888545513153,0.918220579624176
C3_creative_handcuffs,late,220,128.32806396484375,0.1291176825761795,0.9354411363601685
C3_creative_handcuffs,late,221,131.51412963867188,0.12275439500808716,0.9386228322982788
C3_creative_handcuffs,late,222,127.46308135986328,0.1323225349187851,0.9338386058807373
C3_creative_handcuffs,late,223,127.27040100097656,0.10763644427061081,0.9461819529533386
C3_creative_handcuffs,late,224,123.99483489990234,0.13208255171775818,0.9339587092399597
C3_creative_handcuffs,late,225,124.03440856933594,0.176022008061409,0.911989152431488
C5_jailbreak,early,39,113.15151977539062,0.2781103551387787,0.8609450459480286
C5_jailbreak,early,40,108.95068359375,0.28863805532455444,0.8556812405586243
C5_jailbreak,early,41,104.88200378417969,0.20410491526126862,0.8979475498199463
C5_jailbreak,early,42,116.9227294921875,0.3165794909000397,0.8417103886604309
C5_jailbreak,early,43,118.30894470214844,0.24201644957065582,0.8789919018745422
C5_jailbreak,early,44,113.56945037841797,0.21653474867343903,0.8917326927185059
C5_jailbreak,early,45,110.60579681396484,0.2506142556667328,0.8746930956840515
C5_jailbreak,early,46,122.61724090576172,0.2114628106355667,0.8942688703536987
C5_jailbreak,early,47,123.52999877929688,0.360624760389328,0.819688081741333
C5_jailbreak,early,48,118.9917984008789,0.22212469577789307,0.8889377117156982
C5_jailbreak,early,49,110.51911926269531,0.21052874624729156,0.8947356343269348
C5_jailbreak,early,50,113.50663757324219,0.20694205164909363,0.896528959274292
C5_jailbreak,early,51,105.91839599609375,0.31741803884506226,0.841291069984436
C5_jailbreak,early,52,107.24589538574219,0.36145421862602234,0.8192728757858276
C5_jailbreak,early,53,117.9336166381836,0.32716354727745056,0.8364185690879822
C5_jailbreak,early,54,120.69403839111328,0.19003155827522278,0.9049842953681946
C5_jailbreak,mid,59,119.21050262451172,0.20960715413093567,0.8951965570449829
C5_jailbreak,mid,60,117.7498779296875,0.20885305106639862,0.895573616027832
C5_jailbreak,mid,61,114.57047271728516,0.18173912167549133,0.9091306924819946
C5_jailbreak,mid,62,115.73431396484375,0.16616232693195343,0.9169188141822815
C5_jailbreak,mid,63,112.36414337158203,0.16687074303627014,0.9165647029876709
C5_jailbreak,mid,64,106.16243743896484,0.21964165568351746,0.8901793360710144
C5_jailbreak,mid,65,117.0028076171875,0.20864243805408478,0.8956787586212158
C5_jailbreak,mid,66,109.21148681640625,0.2259136140346527,0.8870432376861572
C5_jailbreak,mid,67,114.41974639892578,0.21536293625831604,0.8923186659812927
C5_jailbreak,mid,68,121.01492309570312,0.14648984372615814,0.9267550110816956
C5_jailbreak,mid,69,111.7868881225586,0.21574071049690247,0.8921297788619995
C5_jailbreak,mid,70,107.94537353515625,0.20682334899902344,0.8965886235237122
C5_jailbreak,mid,71,106.73371887207031,0.24124561250209808,0.8793773651123047
C5_jailbreak,mid,72,121.55989074707031,0.1896837204694748,0.9051582217216492
C5_jailbreak,mid,73,119.71768188476562,0.23290523886680603,0.8835474252700806
C5_jailbreak,mid,74,116.05609893798828,0.257434219121933,0.8712830543518066
