plan,variant,position,norm,critic_mse,critic_cos
plan_c,C2_dangerous_molotov,8,128.9961700439453,0.15933115780353546,0.9203343391418457
plan_c,C2_dangerous_molotov,9,117.51551818847656,0.23550499975681305,0.8822475671768188
plan_c,C2_dangerous_molotov,10,111.01570892333984,0.20548950135707855,0.8972552418708801
plan_c,C2_dangerous_molotov,11,118.28228759765625,0.20579078793525696,0.8971049189567566
plan_c,C2_dangerous_molotov,12,117.49673461914062,0.20385892689228058,0.8980705738067627
plan_c,C2_dangerous_molotov,13,111.2854995727539,0.15121391415596008,0.9243929386138916
plan_c,C2_dangerous_molotov,14,118.56977081298828,0.13312390446662903,0.9334381222724915
plan_c,C2_dangerous_molotov,15,112.69953918457031,0.18573930859565735,0.9071301817893982
plan_c,C3_creative_handcuffs,0,121.3818130493164,0.1700730323791504,0.9149635434150696
plan_c,C3_creative_handcuffs,1,127.18994140625,0.11809826642274857,0.9409511685371399
plan_c,C3_creative_handcuffs,2,120.56795501708984,0.11252057552337646,0.9437398910522461
plan_c,C3_creative_handcuffs,3,127.90142822265625,0.13356977701187134,0.9332152605056763
plan_c,C3_creative_handcuffs,4,137.0793914794922,0.07602278143167496,0.961988627910614
